회차,번호1순위,번호2순위,번호3순위,번호4순위,번호5순위,번호6순위
881,21,12,7,22,3,43
882,9,1,14,2,31,15
883,45,7,42,10,21,26
884,20,10,42,37,19,12
885,10,32,25,3,14,9
886,16,42,37,19,35,6
887,20,8,4,2,26,6
888,30,26,7,23,1,33
889,26,14,39,33,11,34
890,10,20,8,9,38,17
891,45,12,37,22,10,41
892,18,45,4,6,24,34
893,8,22,2,42,28,41
894,15,43,17,5,40,2
895,35,24,21,30,7,38
896,18,7,26,21,27,6
897,36,25,6,44,19,28
898,7,31,37,41,17,34
899,21,14,12,26,15,8
900,25,11,35,5,38,26
901,18,4,10,42,38,1
902,25,14,42,26,27,6
903,31,23,34,26,44,36
904,30,36,20,19,2,8
905,31,20,33,3,26,6
906,27,16,10,36,22,43
907,27,2,38,25,4,33
908,29,33,25,44,42,32
909,25,28,38,39,1,40
910,10,22,4,2,38,7
911,19,15,8,10,43,35
912,13,20,5,25,44,26
913,36,9,31,23,2,17
914,29,12,28,16,35,30
915,29,36,21,12,44,17
916,36,22,44,43,38,31
917,11,30,42,26,2,3
918,26,19,7,24,15,25
919,45,8,4,5,34,29
920,29,30,20,12,1,3
921,13,25,6,44,37,41
922,27,36,12,4,2,3
923,28,4,5,42,31,39
924,25,18,1,34,3,31
925,10,27,43,1,7,33
926,18,32,5,13,35,21
927,20,28,44,25,39,2
928,23,19,17,11,37,30
929,24,45,6,26,14,40
930,21,22,35,25,7,29
931,8,22,40,33,38,2
932,10,36,21,32,17,22
933,39,3,41,22,31,10
934,10,24,42,14,29,6
935,19,17,11,43,20,28
936,25,20,11,4,5,40
937,31,15,9,44,38,8
938,17,23,14,33,21,29
939,16,19,37,6,34,11
940,24,21,11,44,31,40
941,7,9,34,2,6,8
942,14,7,4,38,33,2
943,12,21,9,26,27,11
944,31,8,33,16,43,15
945,45,13,21,42,15,18
946,45,4,16,40,1,8
947,23,20,5,11,2,38
948,8,4,39,23,24,40
949,10,28,38,26,7,27
950,20,17,18,44,37,6
951,29,8,39,19,6,2
952,16,5,44,31,12,40
953,28,45,43,2,18,33
954,11,45,30,36,38,40
955,15,45,42,26,41,11
956,14,19,11,26,35,38
957,14,18,31,38,25,5
958,30,45,10,33,37,18
959,11,10,17,28,5,38
960,28,4,25,40,43,15
961,20,11,41,21,12,33
962,9,3,36,19,1,2
963,37,6,17,42,1,33
964,36,27,22,23,7,2
965,24,9,35,36,41,22
966,9,23,34,40,1,18
967,8,36,9,17,23,5
968,24,25,6,11,27,7
969,25,45,12,38,5,15
970,45,19,34,23,36,22
971,24,36,8,3,21,30
972,25,36,8,42,16,6
973,43,29,19,15,38,31
974,9,21,18,34,5,31
975,32,29,45,7,43,26
976,17,7,11,35,38,12
977,18,45,12,10,43,31
978,9,32,20,44,1,33
979,29,18,34,22,4,13
980,24,10,33,42,25,38
981,3,24,12,39,2,15
982,27,28,10,14,19,30
983,8,41,29,20,38,2
984,23,13,40,37,21,12
985,5,18,40,42,1,27
986,26,11,33,37,39,34
